STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/10/2008,0,74,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/11/2008,0,73,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/12/2008,0.45,69,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/13/2008,0,80,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/14/2008,0,89,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/15/2008,0,83,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/16/2008,0,69,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/17/2008,0,74,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/18/2008,0.01,74,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/19/2008,0,66,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/20/2008,0,71,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/21/2008,0.01,80,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/22/2008,0,74,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/23/2008,0,72,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/24/2008,0,71,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/25/2008,0.2,64,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/26/2008,1.95,64,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/27/2008,0.09,70,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/28/2008,0.21,75,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/29/2008,0,70,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/30/2008,0.05,72,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/1/2008,0.03,72,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/2/2008,0.02,62,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/3/2008,0,62,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/4/2008,0.01,63,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/5/2008,0.19,65,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/6/2008,0,65,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/7/2008,0,65,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/8/2008,0,65,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/9/2008,0.02,77,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/10/2008,0,73,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/11/2008,0.01,71,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/12/2008,0,73,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/13/2008,0.01,77,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/14/2008,0,73,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/15/2008,0,73,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/16/2008,0,78,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/17/2008,0,61,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/18/2008,0,57,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/19/2008,0,55,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/20/2008,0,63,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/21/2008,0.02,62,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/22/2008,0,51,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/23/2008,0,55,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/24/2008,0,56,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/25/2008,1.17,65,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/26/2008,0,63,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/27/2008,0.11,62,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/28/2008,1.26,44,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/29/2008,0,46,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/30/2008,0,49,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/31/2008,0,64,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/1/2008,0,65,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/2/2008,0,51,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/3/2008,0.01,53,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/4/2008,0,63,41
